mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6709549903869629,0.03716686041099432,0.03531599044799805,0.007966232789873988,,sqrt,4,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-0.8418230816761123,-0.6049502949826807,-0.5479633895279508,-0.4384706565838146,-0.6295386771010677,-0.6125492199743252,0.1322025451348741,239,-0.2900747634011473,-0.33284554382087556,-0.3245887828703652,-0.33623423549048986,-0.3208505340657824,-0.32091877192973206,0.016380707009443298
1.5062359809875487,0.13879388408622648,0.0610011100769043,0.01545452485737875,,sqrt,4,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",-0.8394632304286163,-0.5980588643470143,-0.5454878717592252,-0.4381440238831414,-0.6235172351552815,-0.6089342451146558,0.1316581121963373,134,-0.289710722424835,-0.3288202450504543,-0.32336317910413537,-0.3369304692957502,-0.32113717795115193,-0.3199923587652654,0.016090256087374973
0.4808791637420654,0.1121654558441234,0.028098249435424806,0.012156307863009265,,sqrt,4,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.8422745281497681,-0.6308443728252968,-0.5421501620181003,-0.4364178352815461,-0.6551652857259389,-0.62137043680013,0.13454648386172627,363,-0.30149425858220313,-0.3451555971505853,-0.3415488427404594,-0.3674744911812687,-0.33977440210621374,-0.339089518352146,0.02127169430897281
0.46482176780700685,0.05352838184227988,0.02954134941101074,0.012233580948193571,,sqrt,4,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-0.8488324052056798,-0.6224799117246311,-0.5417177949008325,-0.4309892081841827,-0.6446142584600192,-0.6177267156950691,0.1376979486443354,328,-0.3019314668803021,-0.3475439726657614,-0.3405958498398044,-0.36180194662685633,-0.3390564442133548,-0.33818593604521585,0.019830485665164405
0.6365978717803955,0.04970019480644574,0.03698639869689942,0.014114346406226795,,sqrt,4,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-0.8465467161758496,-0.6079278869876261,-0.541765555652319,-0.4378291898623322,-0.6410486993325551,-0.6150236096021364,0.13497793027593932,280,-0.30206361258527276,-0.34823658022704973,-0.3382877321128129,-0.3585010616267191,-0.33914120660118446,-0.33724603863060776,0.019052810273192652
0.9295352458953857,0.04181364156857061,0.04845924377441406,0.012626866712036467,,sqrt,4,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",-0.842823513427725,-0.6017855488380145,-0.5416059467579142,-0.4402064156321549,-0.6290705727458944,-0.6110983994803406,0.13277012296586072,206,-0.3020668129931816,-0.3446903382025804,-0.3373206950055695,-0.35739648557293846,-0.3379796916128498,-0.33589080467742394,0.018386933129128747
0.1951735019683838,0.01789102821117354,0.015375423431396484,0.00944569740028703,,log2,1,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.8311665730041156,-0.6399600101903294,-0.5553910473932613,-0.49544035090146793,-0.6152099515972225,-0.6274335866172793,0.11351281867287742,406,-0.07924900500389413,-0.09164626730789198,-0.08703612893042557,-0.10039274468766135,-0.08839219965083983,-0.08934326911614257,0.006863181594697893
0.43717522621154786,0.03581753086125685,0.030126047134399415,0.01124254984753085,,log2,1,2,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.8331512122556582,-0.6299774750102891,-0.5529928977530227,-0.4795422784849977,-0.6248904698178724,-0.624110866664368,0.11805992812952147,386,-0.0763451212577881,-0.0881674100254738,-0.08958015234877971,-0.09584222879118197,-0.08647208063582024,-0.08728139861180877,0.006318453232853324
0.8778162002563477,0.09504197899872671,0.042949247360229495,0.01241464206334729,,log2,1,2,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.8367868220839051,-0.6255721682335975,-0.5505364611654101,-0.466982100138306,-0.6150699176567956,-0.6189894938556029,0.12270813851749335,340,-0.07704780991779135,-0.08790194959707089,-0.08908378366537595,-0.09363453558412285,-0.08547986422480594,-0.08662958859783339,0.0054743694984883545
1.242490577697754,0.015185325828619738,0.06151175498962402,0.004317517231599333,,log2,1,2,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.8306737494625518,-0.621160866946759,-0.547196308779012,-0.47596475657730414,-0.6160490177719593,-0.6182089399075172,0.11868519360662154,336,-0.07614348380062275,-0.08789258855604865,-0.08833976931883493,-0.09356166756899287,-0.08632032431031034,-0.08645156671096191,0.005700336570974091
0.2458198070526123,0.03382121756025861,0.013767385482788086,0.0041557215557569485,,log2,1,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.8112109449073259,-0.6400427638367162,-0.5450983326512014,-0.4523510613579554,-0.6214170118731475,-0.6140240229252693,0.11874612469184923,267,-0.13684411669915428,-0.159128496299924,-0.15598935366579458,-0.16799463221753197,-0.15995534454057275,-0.15598238868459552,0.01035615632515301
0.45225348472595217,0.021745050968271517,0.03512864112854004,0.012784188202725946,,log2,1,5,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.8177850972716801,-0.6184038554822391,-0.5353371329833673,-0.4448042182950061,-0.6314034838639999,-0.6095467575792585,0.12374695423927978,165,-0.1360980196538817,-0.15679006964878645,-0.15486432374597447,-0.1628245114493562,-0.15833896666887437,-0.15378317823337465,0.009224706176098498
0.6929645538330078,0.04603544577898739,0.03506636619567871,0.013661120830772642,,log2,1,5,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-0.8208927592354435,-0.6100594221107952,-0.5458430184556233,-0.4582376393923179,-0.6154879953581387,-0.6101041669104637,0.11971111531211494,185,-0.13730836631814114,-0.15735871078208205,-0.1545736666889499,-0.16148720397324842,-0.15596704783303814,-0.15333899911909193,0.008342224598375794
1.1735671520233155,0.013548265162083652,0.04952383041381836,0.008471072900254997,,log2,1,5,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-0.8160442458512961,-0.6074368081319208,-0.5430414724762719,-0.46639738669304653,-0.60743285298434,-0.608070553227375,0.11623590888987125,102,-0.13724740177470218,-0.15800175035036224,-0.15536195745109824,-0.16164539028035976,-0.15536809408189198,-0.15352491878768287,0.008458293497247795
